clock,covid19,others,total
1257,0,7,7
1258,0,7,7
1259,0,7,7
1260,0,5,5
1261,0,6,6
1262,0,7,7
1263,0,8,8
1264,0,5,5
1265,0,6,6
1266,0,7,7
1267,0,7,7
1268,0,7,7
1269,0,8,8
1270,0,7,7
1271,0,7,7
1272,0,6,6
1273,0,6,6
1274,0,6,6
1275,0,5,5
1276,0,6,6
1277,0,6,6
1278,0,7,7
1279,0,6,6
1280,0,7,7
1281,0,6,6
1282,0,6,6
1283,0,5,5
1284,0,5,5
1285,0,5,5
1286,0,6,6
1287,0,6,6
1288,0,6,6
1289,0,6,6
1290,0,5,5
1291,0,5,5
1292,0,6,6
1293,0,4,4
1294,0,5,5
1295,0,5,5
1296,0,5,5
1297,0,3,3
1298,0,3,3
1299,0,3,3
1300,0,3,3
1301,0,3,3
1302,0,2,2
1303,0,3,3
1304,0,3,3
1305,0,4,4
1306,0,4,4
1307,0,3,3
1308,0,3,3
1309,1,3,4
1310,1,4,5
1311,0,4,4
1312,0,4,4
1313,0,4,4
1314,0,5,5
1315,0,5,5
1316,0,6,6
1317,0,6,6
1318,0,6,6
1319,0,5,5
1320,1,5,6
1321,1,5,6
1322,0,6,6
1323,0,7,7
1324,0,7,7
1325,0,3,3
1326,0,3,3
1327,0,4,4
1328,0,4,4
1329,0,5,5
1330,0,5,5
1331,0,3,3
1332,0,4,4
1333,0,4,4
1334,0,4,4
1335,0,4,4
1336,0,4,4
1337,0,4,4
1338,0,5,5
1339,0,4,4
1340,0,4,4
1341,0,4,4
1342,0,4,4
1343,0,5,5
1344,0,5,5
1345,0,4,4
1346,1,4,5
1347,0,4,4
1348,0,5,5
1349,0,3,3
1350,0,3,3
1351,0,3,3
1352,0,3,3
1353,0,3,3
1354,0,4,4
1355,0,4,4
1356,0,5,5
1357,0,4,4
1358,0,4,4
1359,0,5,5
1360,0,5,5
1361,0,6,6
1362,0,6,6
1363,0,6,6
1364,0,6,6
1365,0,7,7
1366,0,7,7
1367,0,7,7
1368,0,7,7
1369,0,7,7
1370,0,7,7
1371,0,7,7
1372,0,7,7
1373,0,8,8
1374,0,6,6
1375,0,6,6
1376,0,7,7
1377,0,8,8
1378,0,9,9
1379,0,8,8
1380,0,9,9
1381,0,9,9
1382,0,6,6
1383,0,6,6
1384,1,6,7
1385,1,6,7
1386,1,6,7
1387,0,7,7
1388,0,7,7
1389,0,8,8
1390,0,8,8
1391,0,8,8
1392,0,8,8
1393,0,9,9
1394,0,9,9
1395,0,6,6
1396,0,7,7
1397,0,7,7
1398,0,6,6
1399,0,7,7
1400,0,7,7
1401,0,7,7
1402,0,7,7
1403,0,7,7
1404,0,8,8
1405,0,7,7
1406,0,7,7
1407,0,7,7
1408,0,7,7
1409,0,7,7
1410,0,7,7
1411,0,7,7
1412,0,7,7
1413,0,8,8
1414,0,9,9
1415,0,8,8
1416,0,8,8
1417,0,8,8
1418,0,8,8
1419,0,8,8
1420,0,9,9
1421,0,8,8
1422,0,8,8
1423,0,6,6
1424,0,7,7
1425,0,7,7
1426,1,7,8
1427,0,8,8
1428,0,8,8
1429,0,6,6
1430,0,7,7
1431,0,7,7
1432,0,8,8
1433,0,9,9
1434,0,8,8
1435,0,8,8
1436,0,7,7
1437,0,8,8
1438,0,6,6
1439,0,6,6
1440,0,7,7
1441,0,7,7
1442,0,7,7
1443,0,6,6
1444,0,7,7
1445,0,5,5
1446,1,5,6
1447,1,5,6
1448,1,6,7
1449,0,7,7
1450,0,7,7
1451,0,8,8
1452,0,8,8
1453,0,7,7
1454,0,7,7
1455,0,8,8
1456,0,6,6
1457,0,7,7
1458,0,7,7
1459,0,7,7
1460,0,8,8
1461,0,8,8
1462,0,8,8
1463,0,7,7
1464,0,7,7
1465,0,7,7
1466,0,7,7
1467,0,7,7
1468,0,7,7
1469,0,6,6
1470,0,7,7
1471,0,8,8
1472,0,9,9
1473,0,9,9
1474,0,9,9
1475,0,9,9
1476,0,9,9
1477,0,9,9
1478,0,6,6
1479,0,7,7
1480,0,7,7
1481,0,6,6
1482,0,6,6
1483,0,6,6
1484,1,6,7
1485,1,6,7
1486,1,6,7
1487,0,7,7
1488,0,7,7
1489,0,7,7
1490,0,7,7
1491,0,8,8
1492,0,8,8
1493,0,6,6
1494,1,6,7
1495,1,6,7
1496,0,6,6
1497,0,7,7
1498,0,6,6
1499,0,7,7
